11.000	42.330
10.920	42.670
10.420	43.080
10.170	43.500
10.080	44.000
9.500	44.080
9.500	44.080
9.170	44.250
8.670	44.330
8.250	44.170
8.000	43.830
7.420	43.670
6.830	43.420
6.420	43.080
5.830	43.000
5.250	43.250
4.580	43.330
4.000	43.500
3.580	43.250
3.000	43.000
3.080	42.500
3.170	41.920
2.670	41.670
2.080	41.330
1.500	41.170
1.000	41.000
0.500	40.420
-8.830	40.250
-8.670	40.750
-8.580	41.170
-8.750	41.670
-8.830	42.000
-8.750	42.420
-9.170	43.000
-8.920	43.250
-8.330	43.330
-8.330	43.330
-8.000	43.750
-7.250	43.500
-6.580	43.500
-5.830	43.580
-5.080	43.500
-4.420	43.330
-3.580	43.500
-2.750	43.420
-2.170	43.330
-1.670	43.420
-1.420	43.670
-1.250	44.250
-1.170	44.670
-1.080	45.250
-1.000	45.830
-1.250	46.250
-1.750	46.500
-2.000	46.750
-1.920	47.000
-2.330	47.330
-2.500	47.500
-3.170	47.580
-3.750	47.830
-4.250	47.830
-4.670	48.000
-4.750	48.500
-4.170	48.580
-3.670	48.750
-3.000	48.830
-2.670	48.500
-2.670	48.500
-2.000	48.580
-1.420	48.580
-1.580	49.170
-1.920	49.670
-1.330	49.670
-1.080	49.250
-0.580	49.330
0.000	49.250
0.170	49.670
0.580	49.830
1.080	49.920
1.500	50.080
1.580	50.500
1.750	50.830
2.330	51.000
3.000	51.250
3.580	51.420
4.000	51.750
4.000	52.000
11.000	52.000
11.000	42.330
